day,susceptible,infected,immune,died,infected_today,recovered_today,died_today
0,999990,10,0,0,10,0,0
1,999986,14,0,0,4,0,0
2,999981,19,0,0,5,0,0
3,999974,26,0,0,7,0,0
4,999965,35,0,0,9,0,0
5,999953,47,0,0,12,0,0
6,999936,64,0,0,17,0,0
7,999913,87,0,0,23,0,0
8,999882,118,0,0,31,0,0
9,999840,160,0,0,42,0,0
10,999784,216,0,0,56,0,0
11,999708,292,0,0,76,0,0
12,999605,395,0,0,103,0,0
13,999466,534,0,0,139,0,0
14,999281,709,10,0,185,10,0
15,999033,953,14,0,248,4,0
16,998699,1282,19,0,334,5,0
17,998250,1724,26,0,449,7,0
18,997646,2319,35,0,604,9,0
19,996834,3119,47,0,812,12,0
20,995742,4194,63,1,1092,16,1
21,994273,5640,85,2,1469,22,1
22,992298,7584,115,3,1975,30,1
23,989642,10198,156,4,2656,41,1
24,986071,13713,210,6,3571,54,2
25,981269,18439,284,8,4802,74,2
26,974812,24793,384,11,6457,100,3
27,966130,33336,519,15,8682,135,4
28,954456,44825,698,21,11674,179,6
29,938759,60274,939,28,15697,241,7
30,917652,81047,1263,38,21107,324,10
31,889270,108980,1699,51,28382,436,13
32,851106,146540,2285,69,38164,586,18
33,799789,197045,3073,93,51317,788,24
34,730786,264956,4132,126,69003,1059,33
35,638001,356272,5557,170,92785,1425,44
36,513238,479060,7473,229,124763,1916,59
37,345476,644166,10049,309,167762,2576,80
38,119895,866176,13513,416,225581,3464,107
39,0,981269,18171,560,119895,4658,144
40,0,974812,24434,754,0,6263,194
41,0,966130,32856,1014,0,8422,260
42,0,954456,44180,1364,0,11324,350
43,0,938759,59406,1835,0,15226,471
44,0,917652,79880,2468,0,20474,633
45,0,889270,107411,3319,0,27531,851
46,0,851106,144430,4464,0,37019,1145
47,0,799789,194207,6004,0,49777,1540
48,0,730786,261140,8074,0,66933,2070
49,0,638001,351141,10858,0,90001,2784
50,0,513238,472161,14601,0,121020,3743
51,0,345476,634890,19634,0,162729,5033
52,0,119895,853704,26401,0,218814,6767
53,0,0,970002,29998,0,116298,3597
54,0,0,970002,29998,0,0,0
55,0,0,970002,29998,0,0,0
56,0,0,970002,29998,0,0,0
57,0,0,970002,29998,0,0,0
58,0,0,970002,29998,0,0,0
59,0,0,970002,29998,0,0,0
60,0,0,970002,29998,0,0,0
61,0,0,970002,29998,0,0,0
62,0,0,970002,29998,0,0,0
63,0,0,970002,29998,0,0,0
64,0,0,970002,29998,0,0,0
65,0,0,970002,29998,0,0,0
66,0,0,970002,29998,0,0,0
67,0,0,970002,29998,0,0,0
68,0,0,970002,29998,0,0,0
69,0,0,970002,29998,0,0,0
70,0,0,970002,29998,0,0,0
71,0,0,970002,29998,0,0,0
72,0,0,970002,29998,0,0,0
73,0,0,970002,29998,0,0,0
74,0,0,970002,29998,0,0,0
75,0,0,970002,29998,0,0,0
76,0,0,970002,29998,0,0,0
77,0,0,970002,29998,0,0,0
78,0,0,970002,29998,0,0,0
79,0,0,970002,29998,0,0,0
80,0,0,970002,29998,0,0,0
81,0,0,970002,29998,0,0,0
82,0,0,970002,29998,0,0,0
83,0,0,970002,29998,0,0,0
84,0,0,970002,29998,0,0,0
85,0,0,970002,29998,0,0,0
86,0,0,970002,29998,0,0,0
87,0,0,970002,29998,0,0,0
88,0,0,970002,29998,0,0,0
89,0,0,970002,29998,0,0,0
90,0,0,970002,29998,0,0,0
91,0,0,970002,29998,0,0,0
92,0,0,970002,29998,0,0,0
93,0,0,970002,29998,0,0,0
94,0,0,970002,29998,0,0,0
95,0,0,970002,29998,0,0,0
96,0,0,970002,29998,0,0,0
97,0,0,970002,29998,0,0,0
98,0,0,970002,29998,0,0,0
99,0,0,970002,29998,0,0,0
