offset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48279,48380,48618,48731,48744,48843,48884,48943,48943,48943,48943,48943,48943,48943,48943,48943
1,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
2,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
3,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
4,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
5,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
6,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
7,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
8,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
9,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
10,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
11,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
12,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
13,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
14,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
15,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
16,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
17,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
18,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
19,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
20,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
21,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
22,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
23,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,40168
24,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,40093,38157,37008
